,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
234,,18/05/2019,FONDO DE INVERSIÓN LARRAINVIAL DESARROLLO INMOBILIARIO II,9753-5,96955500-K,No Rescatable
235,04/09/2017,23/06/2017,FONDO DE INVERSIÓN LARRAINVIAL DEUDA PRIVADA,9469-2,96955500-K,No Rescatable
236,17/01/2019,14/12/2018,FONDO DE INVERSIÓN LARRAINVIAL RENTAS RESIDENCIALES,9698-9,96955500-K,No Rescatable
237,22/12/2016,16/11/2016,FONDO DE INVERSIÓN LARRAINVIAL SERENDIP,9398-K,96955500-K,No Rescatable
238,29/10/2018,14/09/2018,FONDO DE INVERSIÓN LARRAINVIAL SMALL CAP CHILE,9658-K,96955500-K,No Rescatable
239,20/12/2018,28/11/2018,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO HYBRID VALUE,9694-6,76081215-3,No Rescatable
240,11/01/2019,28/12/2018,FONDO DE INVERSIÓN LARRAÍN VIAL DEUDA AUTOMOTRIZ PERÚ,9703-9,76081215-3,No Rescatable
241,,19/10/2018,FONDO DE INVERSIÓN LARRAÍN VIAL FIBRA III,9670-9,76081215-3,No Rescatable
242,,02/03/2019,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V,9726-8,76081215-3,No Rescatable
243,06/12/2018,22/12/2017,FONDO DE INVERSIÓN LARRAÍN VIAL LANDMARK EQUITY XVI,9562-1,76081215-3,No Rescatable
244,11/07/2017,20/04/2017,FONDO DE INVERSIÓN LARRAÍN VIAL LANDMARK REAL ESTATE VIII,9446-3,76081215-3,No Rescatable
245,04/07/2017,24/09/2016,FONDO DE INVERSIÓN LARRAÍN VIAL MARATHON ECO III,9386-6,76081215-3,No Rescatable
246,26/09/2018,20/07/2018,FONDO DE INVERSIÓN LARRAÍN VIAL MÉXICO MEZZANINE,9639-3,76081215-3,No Rescatable
247,02/04/2018,03/04/2018,FONDO DE INVERSIÓN LARRAÍN VIAL NEWFOUNDLAND ARGENTINA,9598-2,76081215-3,No Rescatable
248,,20/01/2018,FONDO DE INVERSIÓN LARRAÍN VIAL PAI PARTNERS EUROPE VII,9574-5,76081215-3,No Rescatable
249,17/07/2018,07/06/2018,FONDO DE INVERSIÓN LARRAÍN VIAL TSEV VIII,9618-0,76081215-3,No Rescatable
250,,23/03/2019,FONDO DE INVERSIÓN LINK CAPITAL PARTNERS PG DIRECT 2019,9732-2,76963034-1,No Rescatable
251,14/03/2017,10/03/2017,FONDO DE INVERSIÓN NEORENTAS NORTH COLONY DOS,9433-1,76122579-0,No Rescatable
252,27/04/2016,12/04/2016,FONDO DE INVERSIÓN NEVASA HMC PEARL DIVER V,9313-0,76034728-0,No Rescatable
253,25/10/2017,29/08/2017,FONDO DE INVERSIÓN NEVASA HMC PEARL DIVER VII,9508-7,76034728-0,No Rescatable
254,12/01/2015,07/11/2014,FONDO DE INVERSIÓN NUEVA ENERGÍA I,9088-3,76081215-3,No Rescatable
255,12/07/2018,04/05/2018,FONDO DE INVERSIÓN OLIVE TREE VENTURES I,9611-3,76081215-3,No Rescatable
256,,12/04/2019,FONDO DE INVERSIÓN PENTA LAS AMÉRICAS INFRAESTRUCTURA CINCO,9737-3,96632170-9,No Rescatable
257,07/01/2015,08/01/2015,FONDO DE INVERSIÓN PROVEEDORES COPEVAL,9131-6,76081215-3,No Rescatable
258,01/10/2014,02/10/2014,FONDO DE INVERSIÓN PÚBLICO PENTA LAS AMÉRICAS INFRAESTRUCTURA DOS,9080-8,96632170-9,No Rescatable
259,,18/05/2019,FONDO DE INVERSIÓN SANTANDER DEUDA PRIVADA,9754-3,96667040-1,No Rescatable
260,,16/05/2019,FONDO DE INVERSIÓN SARTOR MID MALL,9750-0,76576607-9,No Rescatable
261,22/12/2015,07/10/2015,FONDO DE INVERSIÓN SECURITY DEBT OPPORTUNITIES,9241-K,96639280-0,No Rescatable
262,06/01/2015,07/01/2015,FONDO DE INVERSIÓN SECURITY INMOBILIARIO II,9122-7,96639280-0,No Rescatable
263,13/07/2015,06/02/2015,FONDO DE INVERSIÓN SECURITY OAKTREE OPPORTUNITIES - DEBT II,9146-4,96639280-0,No Rescatable
264,27/11/2017,02/12/2015,FONDO DE INVERSIÓN SECURITY OAKTREE OPPORTUNITIES II B,9266-5,96639280-0,No Rescatable
265,06/12/2016,22/08/2015,FONDO DE INVERSIÓN SECURITY OAKTREE REAL ESTATE OPPORTUNITIES FUND VII,9227-4,96639280-0,No Rescatable
266,,01/03/2019,FONDO DE INVERSIÓN SECURITY PANTHEON PGCO IV,9724-1,96639280-0,No Rescatable
267,17/11/2015,07/10/2015,FONDO DE INVERSIÓN SECURITY PRINCIPAL SPECIAL SITUATIONS,9242-8,96639280-0,No Rescatable
268,,19/03/2019,FONDO DE INVERSIÓN SECURITY RENTAS INMOBILIARIAS I,9729-2,96639280-0,No Rescatable
269,21/04/2017,22/02/2017,FONDO DE INVERSIÓN SURA AM DESARROLLO INMOBILIARIO PROYECTOS CHILE,9425-0,76036521-1,No Rescatable
270,07/01/2019,13/10/2018,FONDO DE INVERSIÓN SURA DEUDA LATAM UF,9669-5,76036521-1,No Rescatable
271,14/12/2017,12/10/2017,FONDO DE INVERSIÓN SURA RENTA INMOBILIARIA II,9528-1,76036521-1,No Rescatable
272,10/04/2015,26/03/2015,FONDO DE INVERSIÓN TPL INVESTMENT CHILE,9163-4,76081215-3,No Rescatable
273,19/07/2018,19/05/2018,FONDO DE INVERSIÓN UNITED STATES PROPERTY FUND VI,9616-4,96767630-6,No Rescatable
274,07/01/2015,08/01/2015,FONDO DE INVERSIÓN VIZCACHITAS,9142-1,96530900-4,No Rescatable
